;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CATALOGO DE LIBROS DE LA FISI;;;;;;;;;;;;;;;;;;;;;;;;
;Nº;TITULO;AUTOR;CLASIFICACION;AÑO;;;;;;;;;;;;;;;;;;;;;
;2435;MATEMATICA DISCRETA 2da Edicion;Felix Garcia Merayo;QA76.9.M35.G23 ej. 3;2005;;;;;;;;;;;;;;;;;;;;;
;2436;MATEMATICA DISCRETA 2da Edicion;Felix Garcia Merayo;QA76.9.M35.G23 ej. 4;2005;;;;;;;;;;;;;;;;;;;;;
;2437;Matemática Discreta para Informaticos Ejercicios resueltos;Rafael Caballero Roldan, Teresa Hortalá González;QA76.9.M35.M28;2007;;;;;;;;;;;;;;;;;;;;;
;2438;Matemática Discreta para Informaticos Ejercicios resueltos;Rafael Caballero Roldan, Teresa Hortalá González;QA76.9.M35.M28 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;2439;Matemática Discreta para Informaticos Ejercicios resueltos;Rafael Caballero Roldan, Teresa Hortalá González;QA76.9.M35.M28 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;2440;Matemática Discreta para Informaticos Ejercicios resueltos;Rafael Caballero Roldan, Teresa Hortalá González;QA76.9.M35.M28 ej. 4;2007;;;;;;;;;;;;;;;;;;;;;
;2441;Estructuras discretas en computación;Marco Aurelio Zevallos y Muñiz, Irina Franco Cornejo;QA76.9.M35.Z75;2007;;;;;;;;;;;;;;;;;;;;;
;2442;Análisis y diseño orientado a Objetos de Sistemas Usando UML;Simon Bennett, Steve McRobb y Ray Farmer;QA76.9.O35.B44;2007;;;;;;;;;;;;;;;;;;;;;
;2443;Análisis y diseño orientado a Objetos de Sistemas Usando UML;Simon Bennett, Steve McRobb y Ray Farmer;QA76.9.O35.B44 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;2444;Análisis y diseño orientado a Objetos de Sistemas Usando UML;Simon Bennett, Steve McRobb y Ray Farmer;QA76.9.O35.B44 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;2445;Manual de UML Guia de Aprendizaje;Paul Kimmel;QA76.9.O35.K55;2007;;;;;;;;;;;;;;;;;;;;;
;2446;Analisis y Diseño Orientado a Objetos con UML Rational Rose;Ing. Sergio Matsukawa Maeda;QA76.9.O35.M28;2004;;;;;;;;;;;;;;;;;;;;;
;2447;Analisis y Diseño Orientado a Objetos con UML Rational Rose;Ing. Sergio Matsukawa Maeda;QA76.9.O35.M28 ej. 2;2004;;;;;;;;;;;;;;;;;;;;;
;2448;Analisis y Diseño Orientado a Objetos con UML Rational Rose;Ing. Sergio Matsukawa Maeda;QA76.9.O35.M28 ej. 3;2004;;;;;;;;;;;;;;;;;;;;;
;2449;Analisis y Diseño Orientado a Objetos con UML Rational Rose;Ing. Sergio Matsukawa Maeda;QA76.9.O35.M28 ej. 4;2004;;;;;;;;;;;;;;;;;;;;;
;2450;Analisis y Diseño Orientado a Objetos con UML Rational Rose;Ing. Sergio Matsukawa Maeda;QA76.9.O35.M28 ej. 5;2004;;;;;;;;;;;;;;;;;;;;;
;2451;Analisis y Diseño Orientado a Objetos con UML Rational Rose;Ing. Sergio Matsukawa Maeda;QA76.9.O35.M28 ej. 6;2004;;;;;;;;;;;;;;;;;;;;;
;2452;Analisis y Diseño Orientado a Objetos con UML Rational Rose;Ing. Sergio Matsukawa Maeda;QA76.9.O35.M28 ej. 7;2004;;;;;;;;;;;;;;;;;;;;;
;2453;Analisis y Diseño Orientado a Objetos con UML Rational Rose;Ing. Sergio Matsukawa Maeda;QA76.9.O35.M28 ej. 8;2004;;;;;;;;;;;;;;;;;;;;;
;2454;Analisis y Diseño Orientado  Objetos, con UML y el PROCESO UNIFICADO;Stephen R. Schach;QA76.9.O35.S29;2005;;;;;;;;;;;;;;;;;;;;;
;2455;Analisis y Diseño Orientado  Objetos, con UML y el PROCESO UNIFICADO;Stephen R. Schach;QA76.9.O35.S29 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;2456;Análisis de Sistemas de Software;Zalatiel Carranza;QA76.9.S88.C27;2006;;;;;;;;;;;;;;;;;;;;;
;2457;Análisis de Sistemas de Software;Zalatiel Carranza;QA76.9.S88.C27 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;2458;Análisis de Sistemas de Software;Zalatiel Carranza;QA76.9.S88.C27 ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;2459;Análisis de Sistemas de Software;Zalatiel Carranza;QA76.9.S88.C27 ej. 4;2006;;;;;;;;;;;;;;;;;;;;;
;2460;Análisis de Sistemas de Software;Zalatiel Carranza;QA76.9.S88.C27 ej. 5;2006;;;;;;;;;;;;;;;;;;;;;
;2461;Análisis de Sistemas de Software;Zalatiel Carranza;QA76.9.S88.C27 ej. 6;2006;;;;;;;;;;;;;;;;;;;;;
;2462;Análisis de Sistemas de Software;Zalatiel Carranza;QA76.9.S88.C27 ej. 7;2006;;;;;;;;;;;;;;;;;;;;;
;2463;Análisis de Sistemas de Software;Zalatiel Carranza;QA76.9.S88.C27 ej. 8;2006;;;;;;;;;;;;;;;;;;;;;
;2464;Análisis y diseño de Sistemas 6ta Edicion;Kenneth E. Kendall, Julie E. Kendall;QA76.9.S88.K41;2005;;;;;;;;;;;;;;;;;;;;;
;2465;Análisis y diseño de Sistemas 8va Edicion;Kenneth E. Kendall, Julie E. Kendall;QA76.9.S88.K41 ;2011;PEGAR FICHA DE INGRESO;;;;;;;;;;;;;;;;;;;;
;2466;Análisis y diseño de Sistemas 6ta Edicion;Kenneth E. Kendall, Julie E. Kendall;QA76.9.S88.K41 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;2467;Análisis y diseño de Sistemas 8va Edicion;Kenneth E. Kendall, Julie E. Kendall;QA76.9.S88.K41 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;2468;Análisis y diseño de Sistemas 6ta Edicion;Kenneth E. Kendall, Julie E. Kendall;QA76.9.S88.K41 ej. 3;2005;;;;;;;;;;;;;;;;;;;;;
;2469;Análisis y diseño de Sistemas 8va Edicion;Kenneth E. Kendall, Julie E. Kendall;QA76.9.S88.K41 ej. 3;2011;;;;;;;;;;;;;;;;;;;;;
;2470;Análisis y diseño de Sistemas 8va Edicion;Kenneth E. Kendall, Julie E. Kendall;QA76.9.S88.K41 ej. 4;2005;;;;;;;;;;;;;;;;;;;;;
;2471;Análisis y diseño de Sistemas 8va Edicion;Kenneth E. Kendall, Julie E. Kendall;QA76.9.S88.K41 ej. 4;2011;;;;;;;;;;;;;;;;;;;;;
;2472;Análisis de Sistemas;Cesar Luza Montero;QA76.9.S88.L99;2010;;;;;;;;;;;;;;;;;;;;;
;2473;Analisis de Sistemas, Diseño y Métodos;Jeffrey L. Whitten, Lonnie D. Bentley;QA76.9.S88.W54;2008;;;;;;;;;;;;;;;;;;;;;
;2474;Analisis de Sistemas, Diseño y Métodos;Jeffrey L. Whitten, Lonnie D. Bentley;QA76.9.S88.W54 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;2475;Analisis de Sistemas, Diseño y Métodos;Jeffrey L. Whitten, Lonnie D. Bentley;QA76.9.S88.W54 ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;2476;Analisis de Sistemas, Diseño y Métodos;Jeffrey L. Whitten, Lonnie D. Bentley;QA76.9.S88.W54 ej. 4;2008;;;;;;;;;;;;;;;;;;;;;
;2477;Analisis de Sistemas, Diseño y Métodos;Jeffrey L. Whitten, Lonnie D. Bentley;QA76.9.S88.W54 ej. 5;2008;;;;;;;;;;;;;;;;;;;;;
;2478;Analisis de Sistemas, Diseño y Métodos;Jeffrey L. Whitten, Lonnie D. Bentley;QA76.9.S88.W54 ej. 6;2008;;;;;;;;;;;;;;;;;;;;;
;2479;Evolucion de Computacion e Informatica;Octavio Alvarez Mauricio;QA76.A49;2008;;;;;;;;;;;;;;;;;;;;;
;2480;Manual de Herramientas Tecnologicas I;Sandra Isabel Arango Vasquez, Angelica Ricaurte Avendaño;QA76.A66;2006;;;;;;;;;;;;;;;;;;;;;
;2481;Manual de Herramientas Tecnologicas I;Sandra Isabel Arango Vasquez, Angelica Ricaurte Avendaño;QA76.A67 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;2482;La Biblia de la Computacion e Internet ;Lexus Editores;QA76.B46;2009;;;;;;;;;;;;;;;;;;;;;
;2483;La Biblia de la Computacion e Internet ;Lexus Editores;QA76.B46 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;2484;La Biblia de la Computacion e Internet ;Lexus Editores;QA76.B46 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;2485;La Biblia de la Computacion e Internet ;Lexus Editores;QA76.B46 ej. 4;2009;;;;;;;;;;;;;;;;;;;;;
;2486;La Biblia de la Computacion e Internet ;Lexus Editores;QA76.B46 ej. 5;2009;;;;;;;;;;;;;;;;;;;;;
;2487;FUNDAMENTOS DE INGENIERIA y Programacion para Ingenieria , Ejercicios resueltos para C y Matlab;Modesto Catrillon y otros;QA76.C35;2011;;;;;;;;;;;;;;;;;;;;;
;2488;FUNDAMENTOS DE INGENIERIA y Programacion para Ingenieria , Ejercicios resueltos para C y Matlab;Modesto Catrillon y otros;QA76.C36 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;2489;Computacion para todos Desde cero;Fondo Editorial;QA76.C76;2006;;;;;;;;;;;;;;;;;;;;;
;2490;Computacion Basica para adultos;Claudio Veloso;QA76.C76C;2010;;;;;;;;;;;;;;;;;;;;;
;2491;COMPUTACION FORENSE Descubriendo los RASTROS INFORMATICOS;Jeimy J. Cano Martinez;QA76.C76F;2009;;;;;;;;;;;;;;;;;;;;;
;2492;Computacion para todos Desde cero;Fondo Editorial;QA76.C77 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;2493;Computacion para todos Desde cero;Fondo Editorial;QA76.C77 ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;2494;Computacion para todos Desde cero;Fondo Editorial;QA76.C77 ej. 4;2006;;;;;;;;;;;;;;;;;;;;;
;2495;MAQUINA ANALITICA Introduccion a las ciencias de la computacion con uso de la Internet;Rick Decker, Stuart Hirshfield;QA76.D41;2001;;;;;;;;;;;;;;;;;;;;;
;2496;MAQUINA ANALITICA Introduccion a las ciencias de la computacion con uso de la Internet;Rick Decker, Stuart Hirshfield;QA76.D42 ej. 2;2001;;;;;;;;;;;;;;;;;;;;;
;2497;Aprenda Informatica ¡Facil¡;Gonzalo Ferreyra Cortes;QA76.F43P;2005;CAMBIAR CLASIFICACION;;;;;;;;;;;;;;;;;;;;
;2498;Aprenda Informatica ¡Facil¡;Gonzalo Ferreyra Cortes;QA76.F43P ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;2499;Principios Basicos de Informatica ;Elena Garcia-Cuevas Roque;QA76.G25;2007;;;;;;;;;;;;;;;;;;;;;
;2500;Principios Basicos de Informatica ;Elena Garcia-Cuevas Roque;QA76.G26 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;2501;Introduccion a la Informatica con Windows XP, Mentor;Jose Luis Martin Hernando;QA76.M26;2004;;;;;;;;;;;;;;;;;;;;;
;2502;Introduccion a la Informatica con Windows XP, Mentor;Jose Luis Martin Hernando;QA76.M27 ej. 2;2004;;;;;;;;;;;;;;;;;;;;;
;2503;Introduccion a la Informatica con Windows XP, Mentor;Jose Luis Martin Hernando;QA76.M27 ej. 3;2004;;;;;;;;;;;;;;;;;;;;;
;2504;Informatica para la Gestion y Administracion Basico;Antonio Menchen Peñuela;QA76.M42;2010;;;;;;;;;;;;;;;;;;;;;
;2505;Ofimatica y proceso de la Informacion;Purificacion Aguilera , Maria Morante;QA76.P25;2012;;;;;;;;;;;;;;;;;;;;;
;2506;Introduccion a la Informatica Guias Visuales;Juan Diego Perez Villa;QA76.P26;2008;;;;;;;;;;;;;;;;;;;;;
;2507;Introduccion a la Informatica Guias Visuales;Juan Diego Perez Villa;QA76.P27 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;2508;Introduccion a la Informatica Guias Visuales;Juan Diego Perez Villa;QA76.P27 ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;2509;Introduccion a la Informatica Guias Visuales;Juan Diego Perez Villa;QA76.P27 ej. 4;2008;;;;;;;;;;;;;;;;;;;;;
;2510;Física Universitaria;Mark W.Zemansky;QC 311.28.Y33 V.1;2009;;;;;;;;;;;;;;;;;;;;;
;2511;Física Universitaria;Mark W.Zemansky;QC 311.28.Y33 V.1  ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;2512;Física Universitaria;Mark W.Zemansky;QC 311.28.Y33 V.1  ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;2513;Física Universitaria Con Física Moderna;Mark W.Zemansky;QC 311.28.Y33 V. 2;2009;;;;;;;;;;;;;;;;;;;;;
;2514;Física Universitaria Con Física Moderna;Mark W.Zemansky;QC 311.28.Y33 V. 2 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;2515;Física Universitaria Con Física Moderna;Mark W.Zemansky;QC 311.28.Y33 V. 2 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;2516;FISICA GENERAL V. 2;José María de Juana;QC20.D27  V.2;2007;;;;;;;;;;;;;;;;;;;;;
;2517;Fundamentos de Métodos Matemáticos para Física e ingeniería ;Evguenii V. Kurmyshev, Raúl E. Sanchez-Yañez;QC20.K96;2003;;;;;;;;;;;;;;;;;;;;;
;2518;Fundamentos de Métodos Matemáticos para Física e ingeniería ;Evguenii V. Kurmyshev, Raúl E. Sanchez-Yañez;QC20.K96 ej. 2;2003;;;;;;;;;;;;;;;;;;;;;
;2519;FUNDAMENTOS DE Física ;Raymond A. Serway, Chris Vuille;QC20.S27F;2010;;;;;;;;;;;;;;;;;;;;;
;2520;ELECTROMAGNETISMO Compendio de teoria;José L. Fernández, Mariano J. Pérez-Amor;QC21.2.F41;2012;;;;;;;;;;;;;;;;;;;;;
;2521;FISICA GENERAL V. 1;Robert Resnick, David Halliday;QC21.2.R44 V.1;2002;;;;;;;;;;;;;;;;;;;;;
;2522;FISICA GENERAL V. 1;Robert Resnick, David Halliday;QC21.2.R44 V.1 ej. 2;2002;;;;;;;;;;;;;;;;;;;;;
;2523;FISICA GENERAL V. 1;Robert Resnick, David Halliday;QC21.2.R44 V.1 ej. 3;2002;;;;;;;;;;;;;;;;;;;;;
;2524;FISICA GENERAL V. 1;Robert Resnick, David Halliday;QC21.2.R44 V.1 ej. 4;2002;;;;;;;;;;;;;;;;;;;;;
;2525;FISICA GENERAL V. 1;Robert Resnick, David Halliday;QC21.2.R44 V.1 ej. 5;2002;;;;;;;;;;;;;;;;;;;;;
;2526;FISICA GENERAL V. 1;Robert Resnick, David Halliday;QC21.2.R44 V.1 ej. 6;2002;;;;;;;;;;;;;;;;;;;;;
;2527;FISICA GENERAL V. 2;Robert Resnick, David Halliday;QC21.2.R44 V.2;2002;;;;;;;;;;;;;;;;;;;;;
;2528;FISICA GENERAL V. 2;Robert Resnick, David Halliday;QC21.2.R44 V.2 ej. 2;2002;;;;;;;;;;;;;;;;;;;;;
;2529;FISICA GENERAL V. 2;Robert Resnick, David Halliday;QC21.2.R44 V.2 ej. 3;2002;;;;;;;;;;;;;;;;;;;;;
;2530;FISICA Electricidad y magnetismo 7ma Edicion;Raymond A. Serway, John W. Jewett.;QC21.2.S42;2009;;;;;;;;;;;;;;;;;;;;;
;2531;FISICA Electricidad y magnetismo 7ma Edicion;Raymond A. Serway, John W. Jewett.;QC21.2.S42 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;2532;FISICA Electricidad y magnetismo 7ma Edicion;Raymond A. Serway, John W. Jewett.;QC21.2.S42 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;2533;FISICA Electricidad y magnetismo 7ma Edicion;Raymond A. Serway, John W. Jewett.;QC21.2.S42 ej. 4;2009;;;;;;;;;;;;;;;;;;;;;
;2534;FISICA Electricidad y magnetismo 7ma Edicion;Raymond A. Serway, John W. Jewett.;QC21.2.S42 ej. 5;2009;;;;;;;;;;;;;;;;;;;;;
;2535;Elementos de Electromagnetismo;Matthew N.O. Sadiku;QC21.2.S88;2000;;;;;;;;;;;;;;;;;;;;;
;2536;Elementos de Electromagnetismo Traduccion de la 3ra Edicion en ingles;Matthew N.O. Sadiku;QC21.2.S88;2003;;;;;;;;;;;;;;;;;;;;;
;2537;Elementos de Electromagnetismo Traduccion de la 3ra Edicion en ingles;Matthew N.O. Sadiku;QC21.2.S88 ej. 2;2003;;;;;;;;;;;;;;;;;;;;;
;2538;Elementos de Electromagnetismo Traduccion de la 3ra Edicion en ingles;Matthew N.O. Sadiku;QC21.2.S88 ej. 3;2003;;;;;;;;;;;;;;;;;;;;;
;2539;FÍSICA para la Ciencia y la Tecnologia 5ta Edición;Paul A. Tipler, Gene Mosca;QC21.2.T58 V. 1;2005;;;;;;;;;;;;;;;;;;;;;
;2540;FÍSICA para la Ciencia y la Tecnologia 6ta Edición, Mecanica/Oscilaciones y ondas/Termodinamica;Paul A. Tipler, Gene Mosca;QC21.2.T58 V. 1;2008;;;;;;;;;;;;;;;;;;;;;
;2541;FÍSICA para la Ciencia y la Tecnologia 6ta Edición, Mecanica/Oscilaciones y ondas/Termodinamica;Paul A. Tipler, Gene Mosca;QC21.2.T58 V. 1  ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;2542;FÍSICA para la Ciencia y la Tecnologia 6ta Edición, Mecanica/Oscilaciones y ondas/Termodinamica;Paul A. Tipler, Gene Mosca;QC21.2.T58 V. 1  ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;2543;FÍSICA para la Ciencia y la Tecnologia 6ta Edición, Mecanica/Oscilaciones y ondas/Termodinamica;Paul A. Tipler, Gene Mosca;QC21.2.T58 V. 1  ej. 4;2008;;;;;;;;;;;;;;;;;;;;;
;2544;FÍSICA para la Ciencia y la Tecnologia 6ta Edición, Mecanica/Oscilaciones y ondas/Termodinamica;Paul A. Tipler, Gene Mosca;QC21.2.T58 V. 1  ej. 5;2008;;;;;;;;;;;;;;;;;;;;;
;2545;FÍSICA para la Ciencia y la Tecnologia 6ta Edición, Mecanica/Oscilaciones y ondas/Termodinamica;Paul A. Tipler, Gene Mosca;QC21.2.T58 V. 1  ej. 6;2008;;;;;;;;;;;;;;;;;;;;;
;2546;FÍSICA para la Ciencia y la Tecnologia 6ta Edición, Mecanica/Oscilaciones y ondas/Termodinamica;Paul A. Tipler, Gene Mosca;QC21.2.T58 V. 1  ej. 7;2008;;;;;;;;;;;;;;;;;;;;;
;2547;FÍSICA para la Ciencia y la Tecnologia 6ta Edición, Electricidad  y Magnetismo/Luz;Paul A. Tipler, Gene Mosca;QC21.2.T58 V.2;2010;;;;;;;;;;;;;;;;;;;;;
;2548;FÍSICA para la Ciencia y la Tecnologia 6ta Edición, Electricidad  y Magnetismo/Luz;Paul A. Tipler, Gene Mosca;QC21.2.T58 V.2 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;2549;FÍSICA para la Ciencia y la Tecnologia 6ta Edición, Electricidad  y Magnetismo/Luz;Paul A. Tipler, Gene Mosca;QC21.2.T58 V.2 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;2550;FÍSICA para la Ciencia y la Tecnologia 6ta Edición, Electricidad  y Magnetismo/Luz;Paul A. Tipler, Gene Mosca;QC21.2.T58 V.2 ej. 4;2010;;;;;;;;;;;;;;;;;;;;;
;2551;FÍSICA para la Ciencia y la Tecnologia 6ta Edición, Mecanica cuántica, relatividad y estructura de la materia.;Paul A. Tipler, Gene Mosca;QC21.2.T58 V.3;2010;;;;;;;;;;;;;;;;;;;;;
;2552;Física para ingeniería y ciencias;Wolfgang Bauer, Gary D. Westfall;QC21.3.B42;2011;;;;;;;;;;;;;;;;;;;;;
;2553;FISICA Electricidad y magnetismo 7ma Edicion;Raymond A. Serway;QC21.3.S42;2009;;;;;;;;;;;;;;;;;;;;;
;2554;FISICA Electricidad y magnetismo 7ma Edicion;Raymond A. Serway;QC21.3.S42 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;2555;FISICA Electricidad y magnetismo 7ma Edicion;Raymond A. Serway;QC21.3.S42 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;2556;FISICA Electricidad y magnetismo 7ma Edicion;Raymond A. Serway;QC21.3.S42 ej. 4;2009;;;;;;;;;;;;;;;;;;;;;
;2557;FISICA Electricidad y magnetismo 7ma Edicion;Raymond A. Serway;QC21.3.S42 ej. 5;2009;;;;;;;;;;;;;;;;;;;;;
;2558;FÍSICA para ciencias e ingenieria 7ma Edición;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.1;2008;;;;;;;;;;;;;;;;;;;;;
;2559;FÍSICA para ciencias e ingenieria 7ma Edición;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.1 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;2560;FÍSICA para ciencias e ingenieria 7ma Edición;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.1 ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;2561;FÍSICA para ciencias e ingenieria 7ma Edición;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.1 ej. 4;2008;;;;;;;;;;;;;;;;;;;;;
;2562;FÍSICA para ciencias e ingenieria 7ma Edición;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.1 ej. 5;2008;;;;;;;;;;;;;;;;;;;;;
;2563;FÍSICA para ciencias e ingenieria 7ma Edición;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.1 ej. 6;2008;;;;;;;;;;;;;;;;;;;;;
;2564;FÍSICA para ciencias e ingenieria 7ma Edición;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.1 ej. 7;2008;;;;;;;;;;;;;;;;;;;;;
;2565;FÍSICA para ciencias e ingenieria 7ma Edición;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.1 ej. 8;2008;;;;;;;;;;;;;;;;;;;;;
;2566;FÍSICA para ciencias e ingenieria 7ma Edición;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.1 ej. 9;2008;;;;;;;;;;;;;;;;;;;;;
;2567;FÍSICA para ciencias e ingenieria 7ma Edición;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.1 ej. 10;2008;;;;;;;;;;;;;;;;;;;;;
;2568;FÍSICA para ciencias e ingenieria 7ma Edición;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.1 ej. 11;2008;;;;;;;;;;;;;;;;;;;;;
;2569;FÍSICA para ciencias e ingenieria 7ma Edición;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.1 ej. 12;2008;;;;;;;;;;;;;;;;;;;;;
;2570;FÍSICA para ciencias e ingenieria 7ma Edición;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.1 ej. 13;2008;;;;;;;;;;;;;;;;;;;;;
;2571;FÍSICA para ciencias e ingenieria con Física Moderna 7ma Edicion;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.2;2008;;;;;;;;;;;;;;;;;;;;;
;2572;FÍSICA para ciencias e ingenieria con Física Moderna 7ma Edicion;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.2  ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;2573;FÍSICA para ciencias e ingenieria con Física Moderna 7ma Edicion;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.2  ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;2574;FÍSICA para ciencias e ingenieria con Física Moderna 7ma Edicion;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.2  ej. 4;2008;;;;;;;;;;;;;;;;;;;;;
;2575;FÍSICA para ciencias e ingenieria con Física Moderna 7ma Edicion;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.2  ej. 5;2008;;;;;;;;;;;;;;;;;;;;;
;2576;FÍSICA para ciencias e ingenieria con Física Moderna 7ma Edicion;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.2  ej. 6;2008;;;;;;;;;;;;;;;;;;;;;
;2577;FÍSICA para ciencias e ingenieria con Física Moderna 7ma Edicion;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.2  ej. 7;2008;;;;;;;;;;;;;;;;;;;;;
;2578;FÍSICA para ciencias e ingenieria con Física Moderna 7ma Edicion;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.2  ej. 8;2008;;;;;;;;;;;;;;;;;;;;;
;2579;FÍSICA para ciencias e ingenieria con Física Moderna 7ma Edicion;Raymond A. Serway, John W. Jewett. Jr.;QC21.3.S42  V.2  ej. 9;2008;;;;;;;;;;;;;;;;;;;;;
;2580;Fisica III Electrostática y Magnetismo 3ra Edicion;Humberto Leyva Naveros;QC32.L12;2003;;;;;;;;;;;;;;;;;;;;;
;2581;Fisica III Electrostática y Magnetismo;Humberto Leyva Naveros;QC32.L12;2014;;;;;;;;;;;;;;;;;;;;;
;2582;Fisica III Electrostática y Magnetismo;Humberto Leyva Naveros;QC32.L12;2016;;;;;;;;;;;;;;;;;;;;;
;2583;Fisica III Electrostática y Magnetismo;Humberto Leyva Naveros;QC32.L12 ej. 2;2016;;;;;;;;;;;;;;;;;;;;;
;2584;Fisica III Electrostática y Magnetismo;Humberto Leyva Naveros;QC32.L12 ej. 3;2016;;;;;;;;;;;;;;;;;;;;;
;2585;Fisica III Electrostática y Magnetismo;Humberto Leyva Naveros;QC32.L12 ej. 4;2016;;;;;;;;;;;;;;;;;;;;;
;2586;Fisica III Electrostática y Magnetismo;Humberto Leyva Naveros;QC32.L12 ej. 5;2016;;;;;;;;;;;;;;;;;;;;;
;2587;Fisica III Electrostática y Magnetismo;Humberto Leyva Naveros;QC32.L12 ej. 6;2016;;;;;;;;;;;;;;;;;;;;;
;2588;Fisica III Electrostática y Magnetismo;Humberto Leyva Naveros;QC32.L12 ej. 7;2016;;;;;;;;;;;;;;;;;;;;;
;2589;FÍSICA I Teoria y problemas resueltos;Humberto Leyva Naveros;QC32.L55 ;2004;;;;;;;;;;;;;;;;;;;;;
;2590;Fisica 1 Teoría, problemas resueltos y propuestos;Humberto Leyva Naveros;QC32.L55;2016;;;;;;;;;;;;;;;;;;;;;
;2591;Fisica 1 Teoría, problemas resueltos y propuestos;Humberto Leyva Naveros;QC32.L55 ej. 2;2016;;;;;;;;;;;;;;;;;;;;;
;2592;Fisica 1 Teoría, problemas resueltos y propuestos;Humberto Leyva Naveros;QC32.L55 ej. 3;2016;;;;;;;;;;;;;;;;;;;;;
;2593;Fisica 1 Teoría, problemas resueltos y propuestos;Humberto Leyva Naveros;QC32.L55 ej. 4;2016;;;;;;;;;;;;;;;;;;;;;
;2594;Fisica 1 Teoría, problemas resueltos y propuestos;Humberto Leyva Naveros;QC32.L55 ej. 5;2016;;;;;;;;;;;;;;;;;;;;;
;2595;Fisica 1 Teoria y problemas resueltos;Humberto Leyva Naveros;QC32.L55 ej. 6;2004;;;;;;;;;;;;;;;;;;;;;
;2596;Fisica 1 Teoria y problemas resueltos;Humberto Leyva Naveros;QC32.L55 ej. 7;2004;;;;;;;;;;;;;;;;;;;;;
;2597;Fisica 1 Teoria y problemas resueltos;Humberto Leyva Naveros;QC32.L55 ej. 8;2004;;;;;;;;;;;;;;;;;;;;;
;2598;Fisica 1 Teoría, problemas resueltos y propuestos;Humberto Leyva Naveros;QC32.L55 ej. 9;2016;;;;;;;;;;;;;;;;;;;;;
